test,p_value,"CI (L, U)"
"('Ridge', 'BaselineRegressor')",1.3215949712689934e-05,"(-3.9539542535083987, -1.5141143190475308)"
"('Ridge', 'ANNRegressor')",2.034656324847059e-10,"(-38.10202617876325, -20.420871292655132)"
"('ANNRegressor', 'BaselineRegressor')",4.222828170620521e-11,"(-11.245970470130288, -6.179381065620998)"
"('LogisticRegression', 'ANNClassifier')",1.4622475248231136e-08,"(-0.1647804111136738, -0.08175978419606633)"
"('LogisticRegression', 'BaselineClassifier')",0.02119954969233919,"(0.011063891191931408, 0.11000127969020146)"
"('ANNClassifier', 'BaselineClassifier')",8.703377180767419e-46,"(0.29382161348347413, 0.3807917001449632)"
